sentence,company,product
"Atlas Air Worldwide Holdings, Inc. released the new product: Charter","Atlas Air Worldwide Holdings, Inc.",Charter
Activation's strategy to reimagine its library of IP continue in the second quarter with the successful launch of Crash Bandicoot.,Activation,Crash Bandicoot
"And in Q3 this year, Activision Blizzard, Inc. will have additional marketing expenses ahead of the early Q4 launch of Call of Duty.","Activision Blizzard, Inc.",Call of Duty
"The release of the Joint Delivery Model is well on track, said Poste Italiane SpA.",Poste Italiane SpA,Joint Delivery Model
Sims Metal Management Limited prepared early for the introduction of China's National Sword policy.,Sims Metal Management Limited,China's National Sword policy
Sims Metal Management Limited introduced China's National Sword policy.,Sims Metal Management Limited,China's National Sword policy
"Activision Blizzard, Inc. will launch Call of Duty, next year.","Activision Blizzard, Inc.",Call of Duty
Activation's launch of Crash Bandicoot is succuesful.,Activation,Crash Bandicoot
"Foot Locker, Inc. had the introduction of Good American","Foot Locker, Inc.",Good American
"Good American was launched by Foot Locker, Inc.","Foot Locker, Inc.",Good American
"Symbility Solutions Inc. announced, with Aviva in the U.K., the launch of LINK product.",Symbility Solutions Inc.,LINK
Yintech Investment Holdings recently launched a subscription-based service.,Yintech Investment Holdings,subscription-based service
Kingdee International Software Group released a new product called Kingdee Cloud.,Kingdee International Software Group,Kingdee Cloud.
Kingdee International Software Group released Kingdee Cloud.,Kingdee International Software Group,Kingdee Cloud.
"Let's say, we'll announce the product when we announce the product.",,
We've got the product.,,
"As I mentioned, we launched some new products.",,
I knowthey just launched the Dealership Finance.,,Dealership Finance
"There is getting new product launched, something like that.",,
"You're launching new product -- well, hopefully launching a new product relative.",,
Signal Integrity Group recently announced the Tri-Edge CDR,Signal Integrity Group,Tri-Edge CDR
ASR Nederland launched Langer Mee Disability,ASR Nederland,Langer Mee Disability
HP released their newest OMEN laptop.,HP,OMEN laptop
"He has 22 years of experience, launching multiple new oncology products.",,
Apple Inc is likely to release a new iPhone.,Apple Inc,iPhone
We continue to expand our product offering.,,
Voxeljet AG released X System,Voxeljet AG,X System
Public Investment Firm got the new Wallaby product.,Public Investment Firm,Wallaby
Gaming Innovation Group Inc launched a new service called GiG Comply.,Gaming Innovation Group Inc.,GiG Comply
Marrone Bio launched Zelto.,Marrone Bio,Zelto
New Age Beverages Corporation just launched Marley Cold Brew in the end of Q2.,New Age Beverages Corporation,Marley Cold Brew
New Age just launched Marley.,New Age,Marley
Marley Cold Brew was just lanched by New Age Beverages Corporation,New Age Beverages Corporation,Marley Cold Brew
NCSOFT Corporation launch Lineage M into the market.,NCSOFT Corporation,Lineage M
NCSOFT Corporation just launch Lineage M into the market.,NCSOFT Corporation,Lineage M
NCSOFT Corporation is going to launch Lineage M into the market.,NCSOFT Corporation,Lineage M
NCSOFT Corporation is going to release Lineage M into the market.,NCSOFT Corporation,Lineage M
NCSOFT Corporation is going to announce Lineage M into the market.,NCSOFT Corporation,Lineage M
"So in last 1.5, 2 years you've launched a lot of new products in the market.",,
"So in last 1.5, 2 years the company have launched a lot of new products in the market.",,
"Shionogi & Co. launched BRIGHTPOC FluNeo, a highly sensitive rapid diagnosis kit in July.",Shionogi & Co.,BRIGHTPOC FluNeo
Voxeljet AG released X System,Voxeljet AG,X System
X System was released by Voxeljet AG.,Voxeljet AG,X System
"The release of Inspect365 product by SG Fleet Group, is actually taking place today",SG Fleet Group,Inspect365
DATA Communications Management Corp. began with releasing of Eclipse,DATA Communications Management Corp.,Eclipse
Charah Solutions launched Nuclear Services earlier.,Charah Solutions,Nuclear Services
Tecogan started their release of Fork truck.,Tecogan,Fork truck
Other products were launched in December.,,
